id_athlete,last_name,first_name,id_team,team_name
18038404.0,TEUTENBERG,Tim Torn,90116,Germany
18038408.0,JÜRISSON,Peeter,91614,Estonia
18038476.0,KOUAMÉ,Taky Marie-Divine,96340,France
18038543.0,ALI,Chituru,91594,Italy
18038550.0,STOJOSKI,Jovan,92148,North Macedonia
18038656.0,MCGLYNN,Michael,107900,South Africa
18038729.0,ALDASS,Sanda,62303,Refugee Olympic Team
18038737.0,RAKOTOARIMANANA,Fabio,11063,Madagascar
18038800.0,RUPPERT,Frederik,94474,Germany
18038914.0,SZPERKIEWICZ,Katarzyna,91364,Poland
18038928.0,MARTINEZ,Pablo,91881,Spain
18039023.0,ALIKAJ,Ahmad,62303,Refugee Olympic Team
18039025.0,BADAWI,Fares,11612,Palestine
18039029.0,DAHOUK,Muna,62303,Refugee Olympic Team
18039043.0,EBERT,Fay,103585,Canada
18039269.0,ROESSELING,Enja,91606,Germany
18039304.0,PETROV,Zakhar,230934,Individual Neutral Athlete
18039548.0,DAVIS,Stephanie,92761,Great Britain
18039611.0,CHEN,Yuxi,89939,China
18039846.0,ERATI,Kaimauri,95781,Kiribati
18039977.0,SHAMSHAYEV,Daniyar,9850,Kazakhstan
18040184.0,HO,Ian,94465,"Hong Kong, China"
18040234.0,SCHMID,Matthias,92136,Germany
18040248.0,DERKOSKI,Filip,92342,North Macedonia
18040250.0,OTOGBE,Mawupemon,92968,Togo
18040252.0,HWANG,Sun-Woo,92558,Republic of Korea
18040357.0,IKROMOVA,Takhmina,97143,Uzbekistan
18040360.0,HORREGO,Julio,92812,Honduras
18040367.0,JENFT,Paul,94965,France
18040437.0,SALEH,Aliaa,92024,Egypt
18040472.0,NIKOLOVA,Stiliana,94030,Bulgaria
18040536.0,TANIYEVA,Elzhana,95766,Kazakhstan
18040575.0,VARFOLOMEEV,Darja,95249,Germany
18040901.0,MURARO,Alice,91594,Italy
18040953.0,RIVA,Federico,91594,Italy
18041042.0,POHORILKO,Oleksandr,91581,Ukraine
18041060.0,VERHEYDEN,Ruben,91068,Belgium
18041108.0,CAMPAGNE,Tom,91520,France
18041268.0,SHARKHAN,Nurlykhan,9850,Kazakhstan
18041274.0,JOACHIM,Alex,98155,St. Vincent & the Grenadines
18041276.0,GAFFOOR,Aniqah,96250,Sri Lanka
18041278.0,MASEI,Micah,95319,American Samoa
18041282.0,RAHARVEL,Jonathan,93382,Madagascar
18041283.0,FRANK,Nicole,92972,Uruguay
18041301.0,JØNTVEDT,Jon,89949,Norway
18041303.0,MARTÍNEZ,Angela,100250,Spain
18041307.0,DE TULLIO,Luca,91971,Italy
18041324.0,HASSOUNA,Audai,96245,Libya
18041327.0,CASTILLO,Gabriel,95308,Bolivia
18041330.0,KADIU,Kledi,98156,Albania
18041368.0,KONDIROLLI,Olt,98493,Kosovo
18041369.0,ALOVATKI,Pavel,91747,Moldova
