id_epreuve,epreuve_name,genre,epreuve_type,is_individual,is_olympic,is_summer,is_handicap,result_direction,id_discipline,id_sport
819,Duo - Femmes,Femmes,Double,False,True,True,False,1,82,35
820,Par équipes - Femmes,Femmes,Equipe,False,False,True,False,1,82,35
825,48kg - Femmes,Femmes,Individuel,True,True,True,False,0,68,61
844,57kg - Femmes - JO,Femmes,Individuel,True,True,True,False,0,129,32
845,49kg - Femmes - JO,Femmes,Individuel,True,True,True,False,0,129,32
853,Mass Start 12.5km - Femmes,Femmes,Individuel,True,True,False,False,0,109,41
938,52kg - Femmes,Femmes,Individuel,True,True,True,False,0,68,61
941,78kg - Femmes,Femmes,Individuel,True,True,True,False,0,68,61
942,+78kg - Femmes,Femmes,Individuel,True,True,True,False,0,68,61
956,75kg - Femmes,Femmes,Individuel,True,False,True,False,1,45,29
964,+67kg - Femmes - JO,Femmes,Individuel,True,True,True,False,0,129,32
981,Sprint Par équipes - Hommes,Hommes,Equipe,False,True,True,False,0,22,13
992,Concours multiple individuel - Femmes,Femmes,Individuel,True,True,True,False,1,40,22
1041,63kg - Femmes,Femmes,Individuel,True,True,True,False,0,68,61
1042,70kg - Femmes,Femmes,Individuel,True,True,True,False,0,68,61
1074,Relais 4 x 6km - Femmes,Femmes,Equipe,False,True,False,False,0,109,41
1101,Par équipes Pursuit 6 Laps - Femmes,Femmes,Equipe,False,True,False,False,0,401,40
1136,57kg - Femmes,Femmes,Individuel,True,True,True,False,0,68,61
1156,-67kg - Femmes - JO,Femmes,Individuel,True,True,True,False,0,129,32
1179,Sprint Par équipes (2 Personnes) - Femmes,Femmes,Equipe,False,False,True,False,0,22,13
1192,Concours général ensembles - Femmes,Femmes,Equipe,False,True,True,False,1,40,22
1197,Poutre - Femmes,Femmes,Individuel,True,True,True,False,1,310,26
1227,Barres asymétriques - Femmes,Femmes,Individuel,True,True,True,False,1,310,26
1254,Poids Mi-Mouche - Femmes (48kg),Femmes,Individuel,True,False,True,False,0,360,60
1257,57kg - Femmes,Femmes,Individuel,True,True,True,False,0,360,60
1258,60kg - Femmes,Femmes,Individuel,True,True,True,False,0,360,60
1260,Poids welter - Femmes (64kg),Femmes,Individuel,True,False,True,False,0,360,60
1261,Poids moyen - Femmes (69kg),Femmes,Individuel,True,False,True,False,0,360,60
1281,49er FX - Femmes,Femmes,Double,False,True,True,False,0,144,1
1298,53kg - Femmes,Femmes,Individuel,True,True,True,False,0,262,8
1323,59kg - Femmes - JO,Femmes,Individuel,True,True,True,False,1,45,29
1329,64kg - Femmes,Femmes,Individuel,True,False,True,False,1,45,29
1338,76kg - Femmes,Femmes,Individuel,True,False,True,False,1,45,29
1436,Ice Dance - Mixte,Mixte,Double,False,True,False,False,1,152,57
1445,Par équipes - Relais - Mixte,Mixte,Equipe,False,True,False,False,0,119,44
1446,Pairs - Mixte,Mixte,Double,False,True,False,False,1,120,57
1449,Par équipes - Mixte,Mixte,Equipe,False,False,False,False,0,107,34
1473,Nacra 17 - Mixte,Mixte,Double,False,True,True,False,0,146,1
1736,74kg LL - Hommes,Hommes,Individuel,True,True,True,False,0,262,8
3390,10km - Hommes,Hommes,Individuel,True,True,True,False,0,83,114
5460,Épreuves combinées (B+D+V) - Hommes,Hommes,Individuel,True,False,True,False,0,72,116
5505,-75kg Kumite - Hommes,Hommes,Individuel,True,False,True,False,0,392,109
5507,-67kg Kumite - Hommes,Hommes,Individuel,True,False,True,False,0,392,109
5508,-61kg Kumite - Femmes,Femmes,Individuel,True,False,True,False,0,392,109
5533,Individual Kata - Hommes,Hommes,Individuel,True,False,True,False,0,391,109
5834,Shortboard - Hommes,Hommes,Individuel,True,True,True,False,1,127,115
5882,Skate Park - Hommes,Hommes,Individuel,True,True,True,False,1,246,117
5884,Skate Street - Hommes,Hommes,Individuel,True,True,True,False,1,246,117
5941,Saut acrobatique Par équipes - Mixte,Mixte,Equipe,False,True,False,False,1,110,6
6041,Doubles - Mixte,Mixte,Double,False,True,False,False,0,118,20
6086,BMX Freestyle - Hommes,Hommes,Individuel,True,True,True,False,1,286,196
6424,67kg GR - Hommes,Hommes,Individuel,True,True,True,False,0,262,46
6426,50kg - Femmes,Femmes,Individuel,True,True,True,False,0,262,8
6427,97kg GR - Hommes,Hommes,Individuel,True,True,True,False,0,262,46
6428,68kg - Femmes,Femmes,Individuel,True,True,True,False,0,262,8
6450,Basket 3x3 Equipe H,Hommes,Equipe,False,True,True,False,0,288,121
6454,62kg - Femmes,Femmes,Individuel,True,True,True,False,0,262,8
6465,Rugby à 7 Equipe F,Femmes,Equipe,False,True,True,False,0,245,72
6466,Simple - Femmes,Femmes,Individuel,True,True,True,False,0,130,68
6467,Double - Femmes,Femmes,Double,False,True,True,False,0,130,68
6468,Double - Mixte,Mixte,Double,False,True,True,False,0,130,68
